English,Kriol
bucket,bakit
bud,baj
buffalo,babolo
build,bildim
building,haus
bulge,swelap
bull,buligi
bullet,gan
bump,bam
bundle,baj
burn,bren
burnt,brenap
burr,bindiyai
burrow,hol
bury,berim
bush,bush
bush blackfellow,mulungwa
bush potato,batju
bush tomato,kaiyabam
business,bisnis
busy,bizibala
but,bat
butcher,bajaman
butter,bata
butterfly,baterflai
button,baton
buy,baim
buzz,buzim
cabbage,kabij
cabin,kabinj
cactus,kaktus
calf (animal),kalb
calm,kwait
camel,kamul
camp,kemp
campfire,kempfaiya
can,ken
can't,noken
canoe,kenu
cap,kep
cape,kep
capital,kapitol
car,modiga
carcass,karkas
card,kad
care,maindim
care for,lukauta
careful,lukautbala
carefully,lukautwei
carpet,kapet
carriage,karij
carry,kerim
carry on,kerimap
carve,karebim
case,kes
cassowary,kasuari
cassowary bone dagger,kasuarispeya
castle,kastel
cat,kat
catch,ketchim
catch fire,ketchimfaiya
caterpillar,elifan bibi
cattle,buligi
cave,hol
ceiling,ruf
celebrate,selibreit
centipede,sentapid
certain,prapawan
chain,chein
chair,jea
chalk,chok
change,jenjim
change over,jenjimap
chase,jeijimap
chat,toktok
cheap,chip
cheat,trikim
check,chekim
cheek,jip
cheeky,jigi
cheerful,hepiwan
cheese,chis
cheetah,chita
cherry,cheri
chest,beli
chicken,chiken
chief,bosmen
child,biginini
children,bigininimob
chin,jin
chip,jip
choke,chok
choose,chuusim
church,choch
circle,raun
city,siti
clap,klep
class,klas
clean,klin
clear,klin
clever,klebabala
cliff,hil
climb,klaimbat
cloak,kep
clock,klok
close,jadimap
cloth,klot
clothes,klos
cloud,klaud
clown,klaun
club,klab
coast,sengraun
coat,jampacoat
cockatoo,kokatu
coconut,kokonat
cold,gol
collapse,foldan
collect,gaderim
college,kolij
colour,kala
comb,komb
come,kam
come back,kambek
come here,kam iya
command,oda
comment,toktok
common,gudwan
community,komyuniti
companion,fren
compare,kemperim
complain,grambal
complete,binij
completely,olagija
complicated,komplikeit
computer,kompyuta
conceal,haidim
condition,kondishan
confess,onap
confused,med
congratulate,kambrembat
connect,joinim
conserve,seibum
consider,jinggabat
continue,kipgon
control,bosim
cook,kukim
cooked,kukwan
cooking,kuking
cool,kol
cooperate,helpim
copper,koppa
copy,kapi
corn,korn
corner,konna
correct,rait
cough,kaf
council,kaunsil
country,kantri
couple,dubala
cousin,banjimen
cover,kabaram
cow,buligi
coward,fraidwan
crack,krek
cradle,kradul
cranky,anggribala
crawl,krolim
crazy,kraingki
cream,krim
create,meikim
creek,krik
creep,krolim
cricket,kriket
crime,krain
cripple,leimbala
cross,kros
crow,krao
crowd,mob
crush,pinjim
cry,wip
crystal,kristal
cucumber,doldol
cup,kap
curtain,keten
curve,keb
cut,katim
cut down,katimdan
cut in,katimin
dad,dedi
damage,bastimap
dance,bunggul
danger,rabis
dangerous,rabiswan
dark,dak
darkness,daknes
darling,barnana
daughter,gel
day,dei
daybreak,moningtaim
dead,ded
deaf,dediyia
dear,barnana
death,ded
decay,jinggi
decide,jingit
decision,jingit
decorate,blandimap
deep,mil
deer,diya
defecate,dudum
defend,blokim
definite,prapawan
delay,slomojen
delight,hepi
delightful,hepiwan
deliver,jandim
demand,wandi
demon,dibuldibul
den,hol
dense,tik
deny,seibum
depart,goat
depend,gada
describe,toktok
desert,sen
deserve,gudwan
design,plenim
desire,wanda
despair,sadnis
destroy,bagadimap
detail,smolwei
devil,dibuldibul
dew,liklik rein
dialogue,toktok
diamond,diamon
die,ded
different,difrin
difficult,ad
dig,dagim
dig out,dagimat
digger,dagaman
dingo,dinggo
dinner,dina
dip,dipim
direct,lidim
direction,wei
dirty,dagibala
disappear,gonwei
disappoint,sad
discuss,toktok
disease,sik
disgust,nogud
dislike,nogudwan
dismiss,sendimwei
distance,longwei
distinct,difrin
distrust,nogudbala
dive,bogi
divide,katamat
divine,dia
do,meigim
doctor,doktabala
dog,dolg
dollar,dola
door,doa
dot,dot
double,tudubala
doubt,maitbi
dough,dor
down,dan
downriver,ribadan
downstairs,danstes
doze,jilip
drag,pullum
drain,dranim
drama,storidon
draw,drawim
dream,drim
dreamtime,drimtaim
dress,klos
dribble,droplowoda
dried,draibala
drink,dringk
drip,dripim
drive,draibim
drop,drup
drought,golweja
drown,dranim
drum,drum
drunk,drangki
dry,gol
dry season,golweja
duck,dak
dull,slek
dumb,med
dust,das
duty,wek
dwarf,lilwan
dwell,kemp
dying,dedbat
eagle,igil
ear,iya
earring,iyawe
earth,graun
earthquake,graungraun
ease,kwait
east,jangidap
eat,nidim
eat up,nidimap
eel,woda sneik
egg,eg
eight,eit
elbow,elbo
elder,olda
elders,oldamen
eldest son,bigsan
elephant,elepen
elephantiasis,elepen leg
elevator,lipta
eleven,ilebimbala
empty,plain
empty out,spilim
encircle,raunim
encounter,midap
end,warnang
"end, the",binij
enemy,enemi
engagement,promis
engaged,promisim
engine,injin
English,inglis
enjoy,hepi
enough,inaf
enter,gitin
entrance,openwei
envy,jelisim
equal,seim
equally,seimwei
erase,werimat
erect,lidimap
escape,gedawei
especially,speshalwei
even,seim
evening,sunsettaim
eventually,bambai
ever,ebatim
every,ebri
every day,ebridei
everybody,ebribodi
everyone,ebriwan
everything,ebriting
everywhere,ebriwei
evidence,pruf
evil,nogud
exact,prapawan
examine,lukluk
example,egzampl
excellent,prapli
except,sep
exchange,jeinjoba
excited,hepiwan
exciting,hepiwan
exclaim,singat
excrement,dudu
excuse,bikoz
exercise,trabeling
exhale,winblow
exhausted,shotwin
exist,lib
expand,gro
expect,weitimbat
expensive,deia
experience,traib
expert,doktabala
explain,toktok
explode,bom
explosion,bom
express,toktok
extend,gro
extra,moa
eye,ai
eyeball,aidan
eyebrow,aikrab
eyelash,aikrab
eyelid,aiskin
face,feis
fact,trubala
fade,dimimap
fail,fela
faint,fent
fair,gud
faith,bilib
fall,foldan
fall down,foldan
fall off,foldanwei
falling star,folingsta
FALSE,rong
family,femili
famine,hanggriwan
famous,gudwan
fan,fan
far,longwei
far away,longwei
farm,kantri
farmer,kantriboi
fast,fas
fasten,taid
fat,pat
fat person,patwan
father,dadi
father-in-law,kajin
father's father,grenbaja
father's mother,grenmami
fault,rong
favour,bikoz
fear,frait
feast,bigmob fid
feather,feda
February,Februwari
feed,nidim
feel,filim
feeling,filing
feet,fut
fellow,men
female,gel
fence,fens
fertile,gudgraun
fetch,bringimbat
fever,sikwan
few,lilbit
field,kantri
fierce,wailwan
fifteen,fipten
fifth,faifwan
fifty,faifti
fight,fait
"fight, big",stikfait
fighter,faita
fighting,faiting
fill,filimap
filled up,bulap
film,pitja
final,laswan
find,faindim
fine,gudwan
finger,finga
finish,binij
finished,binijwan
fire,faiya
fire stick,bayastik
firewood,wud
firm,tait
first,festaim
fish,fis
"fish, big",bigfis
"fish, small",lilfis
fish spear,waiya
fisherman,fisamen
fist,griptap
fit,fit
five,faif
five o'clock,faifaklok
fix,fiksim
flag,flaig
flat,plein
flatter,toktok
flee,ranwei
flesh,mit
flexible,bendabala
flight,flaight
flip,flikim
float,flot
flock,mob
flood,bigiwoda
floor,graun
flour,plaua
flow,raningwoda
flower,blam
fly,flai
flying,flaiing
fog,fog
follow,fola
food,fid
foot,fut
football,butbol
for,bla
force,ngaridi
forehead,faren
forest,janggul
forget,foget
forgive,fogeibim
fork,fok
former,olwan
fortnight,tuwiktaim
forward,goan
foster child,foster biginini
found,faindim
four,fo
four o'clock,foaklok
four-wheel drive,juki
fox,foks
fragile,bik
frame,frem
free,fri
freedom,friwei
freeze,friwada
fresh,breswan
Friday,Fraidei
friend,fren
frighten,fraitinim
frog,frog
from,brom
front,fran
front leg,binga
frost,kolda
fruit,bololo
full,bulap
fully,fulwan
fun,makraun
funeral,jari
fur,skin
furniture,funitja
further,moawei
future,bambai
gab,toktok
gabble,yekyek
gaberdine,kap
gag,bilidimap
gain,pajam
galah,gala
gallop,galapinran
game,plei
"game, playing",pleiying
gang,mob
gap,gab
garden,gaden
garlic,garlik
gas,gas
gate,gait
gather,garrimap
gather up,garrimap
gay,guna boi
gaze,lugunat
gecko,geko
gem,jem
general,gineral
generous,gudwei
genital,wadi
gentle,kwait
gentleman,blouk
germ,jerm
get,gedim
get angry,gidkross
get back,kambek
get down,gidan
get in,gitin
get out,gitout
get ready,gidredi
get up,gitap
ghost,waral
giant,bigwan
gift,gift
gill,giligil
giraffe,jiraaf
girl,gel
"girl, young",yanggel
give,gibim
give back,gibimbek
give birth,barnimap
glad,hepi
glass,glas
glide,slid
glow,laight
go,go
go after,jeijimap
go along,goan
go away,goawei
go back,gobek
go down,gidan
go fast,digam
go in,goin
go out,goat
go past,wokpas
go up,goap
goal,gol
goanna,gowena
goat,got
god,Gad
gold,golwan
good,gud
good news,gudnyus
goodbye,gabai
goose,gus
gossip,yekyek
got,got
government,gavman
grab,grabbim
graceful,kwaitwan
grain,sidi
grandchild,granbiginini
grandfather,grenbaja
grandmother,grenmami
grape,greip
grass,dunda
grasshopper,grajopa
grate,greibum
grateful,hepiwan
grave,tum
gray,blekbala
great,gudwan
greedy,nyangarri
green,grin
green plum,roptri
greet,greetim
greeting,greetim
grey,blekbala
grin,smile
grind,greibum
grip,grebum
groan,groanim
ground,graun
group,mob
grow,growap
grow up,growimap
grub,grab
grumble,grumbul
guard,maindim
guess,gatjimat
guest,fren
guide,lida
guitar,gita
gum,wait gamtri
gun,gan
"gun, shotgun",shatgan
habitation of God and his people,eben
hailstone,heilston
hailstorm,heilstom
hair,binja
"hair, grey or white",blawabeg
"hair, pubic",ngulumurrun
hairless,plein
hairpin,eapin
hairy,hearibala
half,haf
half and half,hafenhaf
half believe,hafbilib
half cooked,yertno
half dead,hafded
half-caste,yelabala
halfway,hafwei
hallelujah,aleiluya
halter,olda
hamburger,hambega
hammer,hema
hand,bingga
hand down,hendimdan
hand grenade,hengrined
hand over,hendimoba
handbag,enbeg
handkerchief,enkiju
handle,hendul
handshake,sheikan
hang,einggim
hang on,hengon
hang up,heingimap
"hanged, be",heng ded
happen,hepin
happening,hepining
happily,hepiwei
happy,hepi
hard,ad
hard time,adtaim
hardly,adli
hat,het
hate,heidim
have,abum
have to,labda
he,datbala
head,gabarra
headache,edeik
health,helth
health centre,helthsenta
healthy,elti
heap,ip
heap up,hipap
hear,eram
heart,hat
heat,hotenam
heaven,eben
heavy,hebi
heel,iyal
heighten,harrimap
helicopter,elikopta
hellfire,helfaiya
hello,alo
help,helbam
helper,helpa
her,im
here,iya
hero,yangboi
hers,im
herself,imjelp
hey look!,koiyokoiyo
"hidden, be",plent
hide,blandim
hiding,duingap
high,hai
"high, go",gejimap
hijack,haijekim
hike,futwok
hill,hil
hillside,hilsaid
him,im
himself,imjelp
hip bone,hipbon
hippie-like,bojiwan
hippopotamus,hipopotamis
his,im
his way,imwei
history book,basdam buk
hit,hidim
hit back,hitimbek
hit down,hitimdan
hit once,nakim
hit repeatedly,hitam
hitting,kangfu
hold,holdim
hold back,holdimbek
hold out,holdimat
hold up,holdimap
hole,hol
holiday,holidei
hollow log,hololog
holy,holiwan
home,hom
honey,hani
hook,huk
"hooked, be",ugimap
hop,hop
hope,hop
horn,hon
hornet,honet
horny,juljul
horrors,yakkai
horse,hos
"horse, bucking",bakjamba
"horse, wild",brambi
"horse, young",boniboni
horseman,hosmen
hose,hos
hospital,hospil
hot,hot
hot dog,hotdog
hot season,hotsisan
hour,awa
house,haus
how,hau
how about,gabo
how long,haulong
how many,haumeni
how much,haumatj
hug,gajulum
humpback,hampibek
humpy,hampi
hundred,andrid
hungry,hanggri
hunt,anding
hunter,hanta
hurry,jandimlong
hurt,herdam
husband,hasbin
I,ai
idea,aidiya
idle,makraun
if,buji
ignore,figit
imitation,toiwan
immediately,dregli
important,bigis
important (ceremony),diya
"important, most",nambawan
impossible,nohop
imprison,lokimap
improved,mobeda
in,la
"in, get",gitin
"in, go",goin
incite,sterrimap
incorrect,rong
incorrectly,rongwei
Indian,Indien
"Indian, American",Intan
individually,mijelb mijelb
infancy,beibitaim
infant,beibi
infantile,beibiwan
infatuated,med
influenza,flu
inform against,bleim
inheritance,shea
initial,lida
inject,jalk
injection,jekjan
injure,herdam
injured,wundidwan
ink,ink
in-law,banjimen
"in-law, old",nyapaja
inner,insaidwan
innumerable,milyan
inquire,askim
insane,kraingki
insect,insek
insect (generic),flai
"insect species: ant, red",redant
"insect species: bee, native",jugabeg blai
"insect species: beetle, water",wodabidul
insect species: bush fly,bidul
insect species: caterpillar,elifan bibi
insect species: centipede,sentapid
insect species: dragon fly (red tail),dregin flai
insect species: dragonfly,stingerei
insect species: fly,flai
"insect species: fly, march",majblai
insect species: grasshopper,grashopa
insect species: grub,grab
insect species: praying mantis,dibuldibul
insect species: sandfly,senflai
insect species: termite,waident
insect species: white ant,waident
insect species: witchety grub,wijidi
insecure,slek
inside,insaid
insult,rabishim
insurance,intjurens
intend,wanda
intercourse,sik
"intercourse, have",bagimbat
interpret,ridim
interrupt,hambagam
intestines,binji
into,langa
"involved in, be",libin
iron,aiyan
"iron, corrugated",shitibain
irresponsible,med
"isolated, be",ngarnanngarnan
it,datbala
itchiness,misal
itchy,itji
its,im
itself,imjelp
jab,jabum
jabiru sound,uruk
jack,jek
jail,jeil
jam,jem
January,Jenyuweri
jaw,jo
jealous,bunjarra
job,job
johnnycake,junikeik
join,joinap
join in,joinin
joined,joininwan
joint connecting leg and foot,eingkul
journey,trebul
judge,jadjim
jug,jag
juice,juspat
July,Julai
jump,jambum
jump down,jampdan
jump in,jampin
jump off,jampof
jump over,jampoba
jump up,jampap
jumper,jampa
June,Jun
jungle,janggul
just,jas
keep,gibim
keep going,kipgon
kerosene,kerisin
key,ki
kick,kikim
kicking,kangfu
kid,biginini
kidney,kidni
kill,kilim
"killed, be",kil
killer,kila
kilogram,kilogrem
kilometre,kilomita
kind,kain
kindly,kainbalawei
king,bunggawa
kinship relationship,ngabirnini
kinship term,bratha
knee,ni
kneel,nildan
knife,naif
knife throwing game,tarltarl
knock,nok
knock down,nakimdan
knock off,nagop
knock out,drapam
knot,not
know,sabi
know well,welnoun
knowledgably,sabibalawei
Kriol word,Nyuginiwed
kung-fu,kangfu
ladder,leda
lady,leidi
lake,leig
lamb chops,gugunja
lame,leim
lamp,lamp
lampstand,lempsten
land,kantri
Landrover,Lenroba
language,langgus
large,big
large mechanical digging machine,beko
larva,pupa
lasso,ropimap
last,las
last night,lasnait
late,leit
later,bambai
laugh,laf
law,lo
lawmen,laumen
lawyer,loya
lay,leim
lay down,leidan
lazily,leisiwei
lazy,leisiwan
lead,lida
leader,lida
leaf,lif
leak,lik
lean,lin
learn,pikap
leather,laja
leave,libum
leech,migamiga
left,lef
left hand,lebden
leg,leg
lemon,lemen
lend,lindim
"length, whole",orlorlong
leopard,leped
lesson,lesin
let,ledim
let down,larramdan
let go,ledimgo
letter,leta
level,lebul
liar,laiyawan
lice,lais
lick,likim
lid,lid
lie,lai
life,laif
lift,lipdim
light,lait
"lighter, cigarette",laita
lighthouse,laithawus
lightning,laitining
like,laik
lily root,garnia
limb,lim
lime,laim
line,lain
line up,lainap
lion,laiyan
liquid,woda
listen,lisin
litre,lita
litter,rabish
little,lil
little (amount),lilbit
live,laib
lively,laibliwan
liver,liba
living,kikin
"lizard, inedible",lisid
load,lod
load up,lodimap
locality,kantri
lock,lok
lock up,lokimap
log,log
loincloth,juju
long,long
long piece of rigid material,ba
long time ago,longtaim
long way,longwei
"long, how",wattaim
look,luk
look after,lukaftum
look around,lukaran
look at,lukum
look down,lukdan
look for,faindim
look out,lukat
look up,lukap
loose,lus
lord,bunggawa
lose,lusum
lost,los
lots,tumatj
loud,ad
loudly,had
love,labam
lovely,labli
low,lobala
lower,bodamwan
"luck, bad",bedlak
"luck, good",gudlak
lucky,lakiwan
lunch,dinataim
lungs,lang
"lure, fishing",lua
lying,lainbala
machine,mishin
machine gun,mishin gan
mad,madwan
magazine,megajin
maggot,megit
mail,meil
maintain standard,kipamap
make,meigim
make sure,meikshuwa
male,boiwan
man,blouk
manage,menijim
manager,manija
"mango, wild",wail meinggo
many,bigmob
map,mep
marble,mabul
March,Matj
mark,mak
"marriage partner, right",dreitbala
married man,merritmen
marry,merrit
mask,mas
massacre,mesika
mat,met
match,metj
mate,bren
material,matiriyal
May,Mei
maybe,maitbi
meal,fid
mean,min
measure,meshurum
meat,mit
mechanic,mikenik
"medical worker, male",doktabala
medicine,medisin
meet,midim
meeting,miting
melon,melan
men,olmenolmen
mend,mendim
merge,midsap
mess,mes
message,mesij
Mexican,gringgo
microphone,mauspat
middle,midul
midnight,midnait
might,mait
milk,milk
mind,bren
mine,main
minister,minista
miracle,mirakul
mirror,mira
miss,mis
mission,mishan
mistake,misteik
mister,mista
mix,miksimap
mock,mokim
modern,brenyu
Monday,Mandei
money,mani
monkey,mangki
monster,monsta
month,mant
moon,mun
mop,mop
more,moa
morning,moning
mosquito,maskitu
motel,haus
mother,mami
motionless,stilwan
motor,injin
mountain,mantin
mourning,jari
mouse,maus
mouth,maus
move,go
movie,pitja
much,bigmob
mucus,janurr
mud,mad
mug,kap
murderer,gildi
muscle,jinuj
mushroom,mashrum
music,myusik
must,gada
mustn't,majan
mutual friends,brengija
my,mai
myself,miselps
mythical being,munmen
nag,gula
nail,neil
nail up,neilimap
naive,stupid
naked,nagid
name,neim
napkin,napkin
narrow,narro
native,neidib
nausea,gatseik
navel,nebal
near,gulijap
nearby,iya
nearly,nili
neck,nek
necklace,nekleis
needle,nidil
neglect,slekap
nephew,munyumunyu
nest,nes
net,net
never,neba
new,nyu
news,nyus
next,nekswan
nice,nais
niece,nis
night,nait
nine,nain
nip,pinjim
nit,dot
no,nomo
no good,nugud
no more,nomo
nobody,nobodi
noise,nois
noiseless,kwait
none,nomo
no-one,nowan
north,Noth
nose,nos
not,nomo
nothing,najing
notice,notisim
November,Nobemba
now,na
nugget,lampwan
nuisance,hambag
number,namba
nurse,sista
nurture,growap
"o'clock, five",faifaklok
"oak, river",wislingtri
obey,bilibim
obscene,rud
observe,lukinat
obtain,gedam
ochre,peint
October,Oktoba
octopus,oktapus
of,bla
off,klos
office,obis
offsider,ofsaida
offspring,biginini
oh,o
oil,oil
OK,okei
okay for you,yaraba
old,ol
old bridge,olbrij
old man,olmen
old woman,olgamen
on,la
on top,ontop
once,wantaim
one,wan
one day,wandei
one more,wanmo
oneself,miselp
"onion, wild",wail anyan
only,jes
open,opin
operate,kadim
"opinion, give",reken
opportunity,tjens
orange,orinj
ordinary,odinriwan
organise,reinjim
orphan,rabish
other,naja
others,najalot
ought to,oda
our,melabat
out,audim
outer part of joint,elabo
outing,pikinik
outside,atsaid
over,oba
over there,obajea
overtake,dastim
owe,oim
own,ron
own way,ronwei
owner,bosmen
oyster,oista
pack up,pegimap
packet,paketwan
"pad, cattle",buligi rod
paddle,pedul
paddock,pedik
page,peij
pain,pein
paint,peint
pair,meitmeit
palm,frant
pancake,penkeik
parachute,perashut
parallel,lebul
paralyse,parralaisim
"parrot, green",welai
part,pat
part of,abwei
pass,bajimap
past,pas
patch of vines,petj
path,roud
pay,pei
peaceful,kwait
peanut,pinat
pebble,ston
pen,pensil
penetrating,jigininbala
penis,wadi
people,pipul
perfect,brabliwan
"permission, no",pidjein
person,pejin
petrol,pedil
photo,bodo
pick,bigin
pick up,pikimap
picnic,biknik
picture,pitja
pig,bigibigi
pile up,pailimap
pill,teblit
pilot,pailit
pinch,binjim
pink,bingk
place,kantri
plain,plein
plait,bladim
plan,plen
plane,RAAF
plant,plentim
plate,pleit
play,plei
plead,ngaja
please,plij
plenty,plendi
plum,plam
plunge,didiwu
pocket,poket
poison,poisin
poke,pokum
police,blijimanmob
pool,bilyid
poor person,wangulu
pop,babim
porridge,porij
possess,abum
possibly,maitbi
pot,pot
potato,putato
pouch,pautj
pound,barlbarl
pour,purum
powdered milk,paoda milk
power,ngaridi
pray,prea
preach,brijing
precisely,rait
pregnant,bundubundu
prepare,gidredi
present,present
preserve,seibum
press,presim
prevent,blakam
price,prais
prick,jalk
prison,prisan
private parts,garndai
probably,masbi
problem,prablam
procure,grebum
promise,pramis
proper,prapawan
proud,praudbala
prove,pruf
puffed out,shotwin
pull,pulum
punch,banjim
punish,panishim
puppy,babbab
purple,pepul
push,pujum
put,budum
"quantity, large",mob
queen,kwin
queen bee,kwin
query,kwesjinmak
question,kwesjinim
quick,kwikbala
quickly,fas
quiet,kwait
quieten,kwaitnim
quietly,kwaitbalawei
"quotes in, put",yadimap
race,res
radiator,maus
radio,rediyo
raft,raf
ragged,kreikinap
railway,reilwei
rain,rein
rain cloud,reinklaud
rain slightly,springkl
rain water,reinwoda
"rain, very light",liklik
rainbow,reinbo
rainbow serpent,reinbo jinek
rainforest,janggul
raise,growimap
rake,reikim
randomly,eniwei
randy,juljul
rat,maus
raw,rowan
razor blade,reiza bleid
reach,gejap
read,ridim
read out,ridimat
ready,redi
real,prapa
really,rili
reared up,redap
rebel,jekapim
recall,rudimat
recent,nyu
recess,smokotaim
reciprocate,skuwerambek
reckon,reken
recognise,jabi
record,gijim
red,red
red and yellow,redyela
Red Eye,Redai
red-handed,redended
refrigerator,frij
refuse,deinimdan
regardless,donmada
relation,releshan
relatives,femili
release,ledimgo
religion,lo
remember,lukabat
remind,rimaindim
remove,teikimof
repair,fiksim
repeat,wanmo
reply,enserim
report,reken
reptile species: crocodile,krokadail
reptile species: lizard,gabalili
rest,res
restart,statabek
restrain,holdim
retaliate,duwumbek
return,kambek
reverse,bekat
revolver,raifol
rhinoceros,rainosris
rib,rib
rice,rais
rich,ritjbala
ride,draibim
ridicule,mokim
rifle,raifol
right,rait
right now,tudeina
ring,ringim
ripe,kuk
rise,gamap
river,riba
road,rod
roar,rorring
rock,rok
rocks,rokantri
rocky,stoni
roll,rolim
roof,ruf
room,rum
root,rut
rope,rop
rotten,jinggi
rough,raf
round,raun
rub,rabam
rubber,raba
rubbish,rabish
rude,rud
ruin,badadimap
rule,rul
run,ran
run away,ranwei
run back,ranbek
sack,jegbeg
sad,jari
sadness,sadnis
saddle,jedirl
safe,seif
salt,sol
salty,solti
same,seim
sand,sen
sandfly,senflai
sandy,sengraun
satan,dibuldibul
satisfied,yalala
Saturday,Satadei
save,seibum
saw,so
say,sei
scared,fraitinim
school,kul
scissors,sisis
scratch,skretjim
sea,solwoda
season,sisan
seat,siddaun
second,sekanwan
see,si
seed,sid
seek,lukabat
seem,laik
seize,grebum
sell,selim
send,sendim
sentence,tokwan
September,Septemba
serpent,reinbo jinek
serve,sabim
settle,sedimap
seven,seben
sew,mendim
shade,sheid
shadow,shedo
shake,sheik
shame,jeim
shape,sheip
share,shea
sharp,shap
shave,shavim
she,im
sheep,gugunja
sheet,jit
shelter,bausheid
shield,shil
shine,toitjim
ship,bot
shirt,jaot
shock,gidsok
shoe,but
shoot,shudum
shop,shop
short,shotbala
shoulder,sholda
shout,singat
show,shoim
shower,shawa
shriek,singat
shut,shadimap
sick,sikbala
side,said
sight,luk
sign,sainim
silent,kwait
silly,silibala
silver,silba
similar,jeimwan
simple,jas
sing,sing
single,singulwan
sink,jingdan
sister,sista
sit,jidan
six,siks
skin,skin
skull,lid
sky,skai
slack,slek
sleep,baibai
slice,slaisim
slide,slaid
slim,skini
slow,slo
small,lil
smart,smat
smash,smeshim
smell,smel
smile,smail
smoke,smok
smooth,sof
snake,sneik
sneeze,itjaw
snore,snorin
snow,sno
so,so
soak,sok
soap,sop
sob,wip
soft,sof
soldier,solja
some,sam
somebody,sambodi
something,samting
sometimes,samtaim
song,song
soon,dregli
sore,sobala
sorry,soriwan
sort,jodaba
sound,bois
soup,sup
south,sauth
space,rum
speak,tok
spear,spiya
