kriol,english
"imbin tok, ""ai garra dalim yu wanim garra hepin bambai dumaji god im brabli wail. det drim im shoum blanga det taim weya dijan wel garra binij.","He said, ""Behold, I will make you know what will be in the latter time of the indignation, for it belongs to the appointed time of the end."
"wal aibin deigim ola reikebait klen, jasanaiya, det san blanga det najawan jeramaiya, hubin det san blanga hebasiniya en holot im brajamob en sanmob,","Then I took Jaazaniah the son of Jeremiah, the son of Habazziniah, with his brothers, all his sons, and the whole house of the Rechabites;"
"detlot pipul hu jidan sabibala, olabat kipgon lenlenbat mowa, bat wen detlot silibala pipul toktok trabul garra kaman.","Wise men lay up knowledge, but the mouth of the foolish is near ruin."
"brom deya na det serramonimen garra deigim det bif, damba en biskit en im garra gibit det speshalwan presen langa mi. detlot na seikridwan ofring blanga det serramonimen. en det briskit en det leig blanga det dediwan ship olabat blanga det serramonimen du, dumaji dijan na det lowa blanga det serramonimen. afta na im kaan jidan nesarait en im gin dringgim det wain, dumaji im fri brom det pramis weya imbin meigim.","and the priest shall wave them for a wave offering before Yahweh. They are holy for the priest, together with the breast that is waved and the thigh that is offered. After that the Nazirite may drink wine."
"wal judas bin go langa det gadin, en imbin deigim sambala roman solja, en imbin deigim sambala blijiman brom det juwish serramoni pleis du, dumaji detlot haibala serramonimen en detlot najalot serramonimen gulum ferasi bin jandim detlot blijiman. en detlot blijiman en solja bin garrimap loda bigwan naif en spiya, en deibin garrimap loda totj du, dumaji imbin naitaim.","Judas then, having taken a detachment of soldiers and officers from the chief priests and the Pharisees, came there with lanterns, torches, and weapons."
en imbin dai wen imbin 912 yiya ol.,"All of the days of Seth were nine hundred twelve years, then he died."
"mi jis laik det wailwan purdiflawa weya gro langa plein kantri, en laik detlot purdiflawa weya gro langa spring kantri.","I am a rose of Sharon, a lily of the valleys."
"en wen ola isreil pipul bin luk, dei nomo bin sabi det daga, en deibin tok, ""wanim dijan?"" wal mosis bin tok, ""dijan na det damba weya yawei bin gibit langa yumob blanga dagat,","When the children of Israel saw it, they said to one another, ""What is it?"" For they didn't know what it was. Moses said to them, ""It is the bread which Yahweh has given you to eat."
"wal yumob garra ol teiknodis en duwit langa ol detlot pipul hu jidan gabman bos langa wi iya, dumaji nobodi kaan jidan bos if god nomo larram im jidan bos. en detlot pipul jidan bos tudei dumaji god bin meigim olabat jidan bos.","Let every soul be in subjection to the higher authorities, for there is no authority except from God, and those who exist are ordained by God."
"bat if enibodi tok nogudbalawei blanga mi langa ola pipul, wal ai garra tok nogudbalawei blanga im langa ol detlot einjul.",but he who denies me in the presence of men will be denied in the presence of God's angels.
"bat jonathan nomo bin irrim im dedi bin tok lagijat, en wen imbin luk det shugabeig, imbin bugum det shugabeig garram det wokinstik blanga im, en imbin dagat det shugabeig, en streidawei imbin filim miselp strongbala.","But Jonathan didn't hear when his father commanded the people with the oath. Therefore he put out the end of the rod that was in his hand and dipped it in the honeycomb, and put his hand to his mouth; and his eyes brightened."
"bambai na wan men neim jairas bin kaman deya langa jisas. det men bin boswan blanga det juwish miting pleis deya langa det taun, en imbin nildan langa jisas fut,","Behold, a man named Jairus came. He was a ruler of the synagogue. He fell down at Jesus' feet and begged him to come into his house,"
"brom deya det king bin jandim ola boswan en deibin faindim jis laik modakai bin tok. deibin heingimap dubala raidap dubala bin dai langa dubala speshalwan pos. deya langa det rum weya king seksis bin jidan langa im speshalwan tjeya, det wekinmen bin raidimdan det stori langa det buk weya dei garram ola meinwan ting weya bin hepin langa ola kantri weya king seksis bin jidan bos.","When this matter was investigated, and it was found to be so, they were both hanged on a gallows; and it was written in the book of the chronicles in the king's presence."
"jis laik yumob bin gudbinji wen ola isreil pipul bin binijap. blanga yumob kantri idam garra jidan rabishwan, nomo garram enijing. afta tharran ebribodi garra sabi mi na yawei det boswan god.'""","As you rejoiced over the inheritance of the house of Israel because it was desolate, so I will do to you. You will be desolate, Mount Seir, and all Edom, even all of it. Then they will know that I am Yahweh.'"""
wal denyul bin go langa det blijiman blanga olabat na. eshpanes bin pudum im deya blanga maindimbat denyul en im thribala ofsaida.,"Then Daniel said to the steward whom the prince of the eunuchs had appointed over Daniel, Hananiah, Mishael, and Azariah:"
"yu si? ai sabi nomo enijing kaan kadimat wi brom god weya im laigim wi thru jisas krais det bos blanga wi. nomeda wi jidan laibala o wi dai, bat stil det dubala ting kaan kadimat wi. en ola einjul en ola dibuldibul kaan kadimat wi du. en ebrijing weya bin hepin tudei en ebrijing weya garra hepin bambai kaan kadimat wi du. nomo enikain pawa o enijing langa top o enijing langa dijan kantri kaan kadimat wi, dumaji nomo enijing weya god bin meigim kaan kadimat wi brom im weya im laigim wi detmatj thru jisas krais det bos blanga wi.","For I am persuaded that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers,"
"bat bambai god garra meigim olabat bradin brabliwei, dumaji im jidan garram ol detlot pipul hu teiknodis langa im.","There they were in great fear, for God is in the generation of the righteous."
"bat det dubala, neideb en abaihu bin dai langa det deset kantri gulum sainai, dumaji dubala bin gibit nogudwan faiya ofring langa yawei. en det dubala nomo bin abum eni biginini. wal eliyeisa en ithama bin serramonimen en deibin kipgon dumbat det wek garram eran det dedi blanga dubala.","Nadab and Abihu died before Yahweh when they offered strange fire before Yahweh in the wilderness of Sinai, and they had no children. Eleazar and Ithamar ministered in the priest's office in the presence of Aaron their father."
"bat detlot pipul hu garra gidap laibala brom dedbala bambai, dei kaan merrit det taim.",But those who are considered worthy to attain to that age and the resurrection from the dead neither marry nor are given in marriage.
"""ai garra binijimap yumob lagijat na, dumaji yumob bin dumbat brabli nogudbala ting langa yumob ron braja olabat. yumob bin dumbat brabli nogudbala ting langa detlot pipul hubin kamat brom det grensan blanga eibrahem neim jeikob. en blanga tharran na yumob garra sheim miselp olagijawan.","For the violence done to your brother Jacob, shame will cover you, and you will be cut off forever."
"finiyas det san blanga eliyeisa bin bos blanga olabat bifo, en yawei bin jidan garram im.","Phinehas the son of Eleazar was ruler over them in time past, and Yahweh was with him."
"bambai na wan lida blanga det miting pleis blanga ola juwish pipul langa det taun bin kaman deya. imbin neim jairas. en wen imbin luk jisas, imbin baudan langa im fut,","Behold, one of the rulers of the synagogue, Jairus by name, came; and seeing him, he fell at his feet."
"wal lagijat na im garra hepin wen det dei garra kaman weya god garra jadjim ebribodi. detlot einjul garra kadimat ol detlot nogudbala pipul brom detlot gudbala pipul,","So it will be in the end of the world. The angels will come and separate the wicked from among the righteous,"
"wal im tok, ""ol yumob silibala pipul, haulong yumob garra jidan lagijat? haulong yumob garra dumbat detkain ting en meigimbat fan langa mi? wotfo yumob nomo len blanga dum gudbala ting?","""How long, you simple ones, will you love simplicity? How long will mockers delight themselves in mockery, and fools hate knowledge?"
"en imbin go en tatjim det stretja garram det bodi, en ol detlot men hubin garrimap det stretja bin stap, en jisas bin tok, ""yangmen, ai dalim yu. gidap!""","He came near and touched the coffin, and the bearers stood still. He said, ""Young man, I tell you, arise!"""
"wal wen mosis bin lidimap det wokinstik blanga im ontop, streidawei yawei bin jandim rein garram heilston en thanda en laitining.","Moses stretched out his rod toward the heavens, and Yahweh sent thunder and hail; and lightning flashed down to the earth. Yahweh rained hail on the land of Egypt."
"en wen det wekinmen duwit langa im bos, det bos kaan tok theingkyu langa im, dumaji tharran na im wek.",Does he thank that servant because he did the things that were commanded? I think not.
"wulijim ebribodi garra sabi blanga ola gudbala ting yubin dum, en blanga det haibala pleis weya yu jidan boswan.","to make known to the sons of men his mighty acts, the glory of the majesty of his kingdom."
"en trubala imbin brabli sik, en imbin gulijap dai. bat god bin sori langa im, en god bin sori langa mi du, dumaji if im bina dai, ai bina brabli sori miselp en nogudbinji detmatj. bat god bin meigim im gudbala.","For indeed he was sick nearly to death, but God had mercy on him, and not on him only, but on me also, that I might not have sorrow on sorrow."
hu gin tok blanga ola brabli gudbala ting imbin dum? hu gin preisim im detmatj?,"Who can utter the mighty acts of Yahweh, or fully declare all his praise?"
"brom deya yawei bin dalim ilaija,","Yahweh's word came to him, saying,"
"afta na jisas bin tok langa ola wekinmen blanga im, ""mi na det speshalwan men, en det taim garra kaman wen yumob garra wandi luk mi garra kambek. bat yumob kaan luk yet.","He said to the disciples, ""The days will come when you will desire to see one of the days of the Son of Man, and you will not see it."
"detlot isreil pipul garra pudumbut langa olabat, en binijimap detlot laswan pipul."" lagijat na beilam bin tok.","Out of Jacob shall one have dominion, and shall destroy the remnant from the city."""
"wal daraiyas bin brom det kantri gulum midiya, en imbin det san blanga seksis en imbin jidan bos langa bebalon.","In the first year of Darius the son of Ahasuerus, of the offspring of the Medes, who was made king over the realm of the Chaldeans—"
nomo enibodi bin deya blanga album en bekimap mi bat dumaji aibin brabli wail en tharran bin meigim mi mowa strongbala aibin win det wo.,"I looked, and there was no one to help; and I wondered that there was no one to uphold. Therefore my own arm brought salvation to me. My own wrath upheld me."
"mispa, kefara, mosa,","Mizpeh, Chephirah, Mozah,"
"wal jisas bin dalim im, ""detlot wail dog gulum foks garram hol weya dei oldei silip. en ola bard garram olabat nes weya dei oldei silip du. bat mi det speshalwan men, en ai nomo garram eniweya blanga silip en abum spel.""","Jesus said to him, ""The foxes have holes and the birds of the sky have nests, but the Son of Man has no place to lay his head."""
"deibin gajim brom detlot enamimob 50,000 kemul, 250,000 ship, en 2,000 dongki, en deibin deigim prisana 100,000 pipul.","They took away their livestock: of their camels fifty thousand, and of sheep two hundred fifty thousand, and of donkeys two thousand, and of men one hundred thousand."
"en ol det najalot sid daga ofring garra jidan blanga detlot serramonimen. tharran ofring im brabli seikridwan, dumaji deibin deigimat det daga brom det ofring wen yubin gibit langa mi na yawei.",That which is left of the meal offering shall be Aaron's and his sons'. It is a most holy part of the offerings of Yahweh made by fire.
"mi laigim main juwish kantrimen olabat detmatj, en ai wandim deigim pleis blanga olabat en larram god panishim mi en kadimat mi brom jisas krais.","For I could wish that I myself were accursed from Christ for my brothers' sake, my relatives according to the flesh."
"pailat bin tok, ""wal wanim trubala?"" afta na pailat bin gobek atsaid langa ola pipul, en imbin dalim olabat, ""ai kaan faindim eni folt langa im blanga meigim im dai.","Pilate said to him, ""What is truth?"" When he had said this, he went out again to the Jews, and said to them, ""I find no basis for a charge against him."
"""afta na det wekinmen bin askim det sekanwan men, 'wotabat yu? haumatj yu garra gibitbek main bos?' en det men bin tok, 'ai garra gibitbek im 1,000 beig garram det sid daga.' en det wekinmen bin tok, 'wal yu deigim dijan buk en tjeinjim det namba brom 1,000 langa 800.'","Then he said to another, 'How much do you owe?' He said, 'A hundred cors of wheat.' He said to him, 'Take your bill, and write eighty.'"
"wal afta wen jisas bin gidap laibala, imbin shoum miselp langa meri megdalin basdam. longtaim jisas bin andimwei sebenbala dibuldibul brom insaid langa det gel.","Now when he had risen early on the first day of the week, he appeared first to Mary Magdalene, from whom he had cast out seven demons."
"wen yawei tok, im sheikimap detlot ouktri en im meigim ola lif brom ola tri buldan, en ebribodi langa im serramoni pleis jingat adbala, ""god im brabli haibalawan!""","Yahweh's voice makes the deer calve, and strips the forests bare. In his temple everything says, ""Glory!"""
"wal mosis nomo bin gibit eni kantri langa det libai klen. imbin gibit olabat det rait blanga dagadagat det serramoni daga, dumaji tharran na yawei bin gibit olabat.","But Moses gave no inheritance to the tribe of Levi. Yahweh, the God of Israel, is their inheritance, as he spoke to them."
"wal wen gidiyan en ola isreil solja bin bidim detlot midiyan solja, detlot midiyan pipul nomo bin meigimbat eni trabul langa ola isreil pipul, en ola isreil pipul bin jidan gudbalawei fo 40 yiya raidap gidiyan bin dai.","So Midian was subdued before the children of Israel, and they lifted up their heads no more. The land had rest forty years in the days of Gideon."
"det king bin jingat langa det feswan wekinmen, en imbin tok, 'yu brabli nogudbala wekinmen! aibin larramgo yu fri, dumaji yubin askim mi, en aibin fogedabat det bigwan mani weya yubin owim mi.","Then his lord called him in and said to him, 'You wicked servant! I forgave you all that debt because you begged me."
"wal streidawei wen pida bin tok lagijat, det gel bin buldan ded, en wen detlot men bin gowin, deibin faindim det gel ded, en deibin garrimap im bodi langa det greibyad, en deibin berrim im wansaid langa im hasbin.","She fell down immediately at his feet and died. The young men came in and found her dead, and they carried her out and buried her by her husband."
"wal loda pipul bin gobek langa jerusalem en juda, en deibin gobek langa olabat ronwan taun. ola femili blanga olabat bin jidan prisana langa det kantri gulum bebalon brom det taim wen king nebakanesa bin deigim olabat deya.","These are the children of the province who went up out of the captivity of those who had been carried away, whom Nebuchadnezzar the king of Babylon had carried away, and who returned to Jerusalem and to Judah, everyone to his city,"
"wal mosis bin kipgon tok langa ola isreil pipul, ""brom deya wibin go langa det roud langa det kantri gulum beishan, en king og bin kaman garram im soljamob blanga fait langa wi gulijap langa det taun gulum idrei.","Then we turned, and went up the way to Bashan. Og the king of Bashan came out against us, he and all his people, to battle at Edrei."
"if yu garra tridim mi lagijat, yu sori langa mi en kilim mi, wulijim ai kaan abum eni mowa krulbala wed brom yu."" lagijat na mosis bin tok.","If you treat me this way, please kill me right now, if I have found favor in your sight; and don't let me see my wretchedness."""
"en afta wen yumob dum lagijat, wi garra gowei brom dijan kantri en go langa det pleis gulum bethel. deya na ai garra pailimap ston blanga sei theingkyu langa god. im na bin albumbat mi wen aibin abum bigis trabul, en imbin jidan garram mi ebriweya aibin go."" lagijat na jeikob bin tok.","Let's arise, and go up to Bethel. I will make there an altar to God, who answered me in the day of my distress, and was with me on the way which I went."""
"ola gudbala pipul nomo laigim ola laiyawan wed, bat ola wed blanga ola wikitwan pipul oldei meigim olabat jidan brabli sheimwan.","A righteous man hates lies, but a wicked man brings shame and disgrace."
"bambai na wen det nyus bin kaman langa king eihes weya detlot siriya solja bin joinap garram ola isreil solja, king eihes en ebribodi langa juda bin bradin nomo lilbit. olabat bin ol sheiksheikbat nomo lilbit jis laik detlot tri weya det strongbala win oldei blowimbat.","David's house was told, ""Syria is allied with Ephraim."" His heart trembled, and the heart of his people, as the trees of the forest tremble with the wind."
det atsaidwan wol blanga detlot stowa rum bin jidan 2.5 mita thikwan.,The thickness of the outer wall of the side rooms was five cubits. That which was left was the place of the side rooms that belonged to the house.
"en det serramonimen garra luk im igin langa det namba 7 dei, en if det sowa imbin godan en im nomo bin spredat ebriweya, wal det serramonimen garra tok im klinbala blanga serramoni, im oni sowa. en im garra washim im klos en im garra jidan klinbala blanga serramoni.","The priest shall examine him again on the seventh day. Behold, if the plague has faded and the plague hasn't spread in the skin, then the priest shall pronounce him clean. It is a scab. He shall wash his clothes, and be clean."
wal nomo oni blanga yumob yawei bin meigim dijan strongwan pramis.,"Neither do I make this covenant and this oath with you only,"
yubin askim mi wotfo aibin oldei tok dumaji ai sabi oni lilbit. trubala aibin tokabat loda ting weya ai nomo bin sabi.,"You asked, 'Who is this who hides counsel without knowledge?' therefore I have uttered that which I didn't understand, things too wonderful for me, which I didn't know."
"bambai na jisas en im wekinmen olabat bin kamat langa det lilwan taun weya det gel neim matha bin jidan, en det gel bin welkam olabat langa im haus.","As they went on their way, he entered into a certain village, and a certain woman named Martha received him into her house."
"wi garra larram olabat jidan laibala, dumaji wibin meigim det pramis garram olabat. en if wi breigim det pramis, god garra panishim wi.","We will do this to them, and let them live; lest wrath be on us, because of the oath which we swore to them."""
"wal jisas bin dalim olabat, ""nomeda mi toktok blanga miselp, bat stil ebrijing mi tok im trubala, dumaji ai sabi brom weya aibin kaman en weya ai garra go. bat yumob nomo sabi brom weya aibin kaman en weya ai garra go.","Jesus answered them, ""Even if I testify about myself, my testimony is true, for I know where I came from, and where I am going; but you don't know where I came from, or where I am going."
"detlot isreil pipul hu nomo gitkil, garra dum ola rait ting en dei garra tok trubalawei nomo laiyawei. dei garra dagat en silip gudbinjiwei deya en nobodi kaan meigim olabat bradin, jis laik ola ship weya dagat en silip wen sambodi wotjimbat olabat."" lagijat na yawei bin tok.","The remnant of Israel will not do iniquity nor speak lies, neither will a deceitful tongue be found in their mouth, for they will feed and lie down, and no one will make them afraid."""
"det king bin tok, ""wen ol detlot wekinmen en ola bos blanga main garra luk heiman kaman, wal dei garra pudumdan olabat hed langa im blanga shoum rispek langa im."" en ebribodi bin duwit langa im wen imbin dalim olabat. bat modakai nomo bin pudumdan im hed blanga heiman.","All the king's servants who were in the king's gate bowed down and paid homage to Haman, for the king had so commanded concerning him. But Mordecai didn't bow down or pay him homage."
"yumob sabi? detlot ritjmen bin pudumbat speyawan mani weya olabat bin abum. bat det widogel bin oni abum det dubala lilwan mani na, en imbin pudum det dubala lilwan mani. holot imbin pudum, en im nomo garram enijing blanga baiyim im daga na."" lagijat na jisas bin tok.","for they all gave out of their abundance, but she, out of her poverty, gave all that she had to live on."""
yumob oldei trastimbat detlot pipul brom ijip blanga lukaftumbat yumob. en yumob nomo bin lisin en teiknodis langa mi en yumob oldei jandimbat mesij langa ijip blanga askim olabat king blanga kaman en album yumob.,"who set out to go down into Egypt without asking for my advice, to strengthen themselves in the strength of Pharaoh, and to take refuge in the shadow of Egypt!"
"wal yumob dalim mi na. if enibodi nomo bin bilib langa jisas krais, wal hau im garra askim im blanga album im? en if enibodi nomo bin irrim det gudnyus blanga jisas krais, wal hau im garra bilib langa im? en if nobodi oldei dalimbat det gudnyus, wal hau ebribodi garra irrim det gudnyus?",How then will they call on him in whom they have not believed? How will they believe in him whom they have not heard? How will they hear without a preacher?
ebri 7 dei olataim weya garra kaman dei garra pudum detlot damba langa det pleis weya ai oldei jidan. yumob pipul garra dum dijan olataim.,Every Sabbath day he shall set it in order before Yahweh continually. It is an everlasting covenant on the behalf of the children of Israel.
"en deibin dalim melabat, melabat kaan merrit langa detlot pipul, en melabat nomo lau album detlot pipul blanga enijing. if melabat dum lagijat wal melabat kaan jidan gudbinjiwei langa dijan kantri en melabat kaan kipgon hendimdan dijan kantri langa melabat biginini olabat du. deibin gibit woning lagijat na.","Now therefore don't give your daughters to their sons. Don't take their daughters to your sons, nor seek their peace or their prosperity forever, that you may be strong and eat the good of the land, and leave it for an inheritance to your children forever.'"
"""wal yumob isreil pipul, yumob gin dum enijing yumob wandim dum! yumob gin go en weship ola drimin sheip! bat mi oldei wonimbat yumob. afta dijan yumob lafta duwit wanim ai garra dalim yumob. yumob lafta stap rabishim main holiwan neim en nomo gibitbat ofring langa detlot drimin sheip.","""'As for you, house of Israel, the Lord Yahweh says: ""Go, everyone serve his idols, and hereafter also, if you will not listen to me; but you shall no more profane my holy name with your gifts and with your idols."
"wal yawei bin kipgon tok, ""yumob garra kaundimap 7 yiya sebenbala taim. det namba garra jidan 49 yiya.","""'You shall count off seven Sabbaths of years, seven times seven years; and there shall be to you the days of seven Sabbaths of years, even forty-nine years."
"blanga loda yiya yubin kain langa olabat. yubin gibit olabat loda tjens. yu spirit bin kaman langa yu speshalwan mesinja olabat, en deibin wonim detlot pipul, bat detlot pipul nomo bin teiknodis. blanga tharran na yubin larram pipul brom najalot kantri kaman en jidan bos blanga olabat.","Yet many years you put up with them, and testified against them by your Spirit through your prophets. Yet they would not listen. Therefore you gave them into the hand of the peoples of the lands."
"en imbin meigim dubala longwan pol brom det wadultri blanga garrimap det teibul, en imbin gaburrumap det dubala pol garram gol.","He made the poles of acacia wood, and overlaid them with gold, to carry the table."
"en mosis bin gajim sambala blad brom detlot buligi, en imbin pudum det blad langa dish, en imbin tjakam detlot najalot blad langa det teibul blanga ofring.","Moses took half of the blood and put it in basins, and half of the blood he sprinkled on the altar."
imbin pudum ol detlot teibul blanga ofring blanga ol detlot sta langa det dubala kotyad deya langa det serramoni pleis.,He built altars for all the army of the sky in the two courts of Yahweh's house.
"brom deya jisas en im wekinmen olabat bin sing det laswan song blanga det pasoba serramoni, en deibin gowei brom det haus, en deibin go langa det hil gulum olib.","When they had sung a hymn, they went out to the Mount of Olives."
"detlot pipul hu jidan trubalawei kaan dalimbat laiya langa det kothaus, bat detlot pipul hu nomo jidan trubalawei oldei dalimbat laiya langa det kothaus.","A truthful witness will not lie, but a false witness pours out lies."
"if yu bulurrum mi en dumbat wanim ai wandim trubalawei jis laik yu dedi deibid bin dum, en if yu lisin langa ola lowa en duwit,","As for you, if you will walk before me as David your father walked, in integrity of heart and in uprightness, to do according to all that I have commanded you, and will keep my statutes and my ordinances,"
"detlot sabibala pipul nomo toktok blanga wanim olabat sabi, bat detlot nogudbala pipul oldei shoumbat ola nogudwan ting dei oldei dumbat.","A prudent man keeps his knowledge, but the hearts of fools proclaim foolishness."
"""aibin jandim det brabli hotwan win blanga draiyimap ola daga langa yumob gadin, en aibin jandim loda grashopa blanga dagat ola greip, fig en olib langa yumob gadin. bat stil yumob nomo bin kambek langa mi.","""I struck you with blight and mildew many times in your gardens and your vineyards, and the swarming locusts have devoured your fig trees and your olive trees; yet you haven't returned to me,"" says Yahweh."
"neksdei na abimalek bin irrim weya ola pipul langa shekam garra go en wek langa ola pedik,","On the next day, the people went out into the field; and they told Abimelech."
wal juda bin jidan gudbalawei nomo garram eni trabul brom olabat enamimob fo 35 yiya wen king asa bin jidan king.,There was no more war to the thirty-fifth year of Asa's reign.
"afta na detlot wekinmen bin jandim jehudai blanga dalim baruk blanga bringimap det rolapwan peipa weya imbin ridimbat langa detlot pipul. jehudai bin det san blanga nethanaiya, en grensan blanga shelemaiya, en imbin grensan blanga kushai. wal baruk bin bringimap det rolapwan peipa garram detlot wed langa olabat na.","Therefore all the princes sent Jehudi the son of Nethaniah, the son of Shelemiah, the son of Cushi, to Baruch, saying, ""Take in your hand the scroll in which you have read in the ears of the people, and come."" So Baruch the son of Neriah took the scroll in his hand, and came to them."
"wal mi na isikiyel, det serramonimen, en mi na det san blanga busi. king nebakanesa bin gajim mi en king jehoiyakin en ola juwish pipul, en imbin meigim melabat jidan wansaid langa det riba gulum keba langa im kantri gulum bebalon. melabat bin jidan iya blanga 5 yiya. bambai langa det namba 30 yiya langa det namba 4 manth langa det namba 5 dei aibin abum drim. langa det drim aibin luk det skai bin opinap en yawei det trubala god bin shoum imselp langa mi, en imbin tok langa mi, en deya na aibin filim det pawa blanga im.","Now in the thirtieth year, in the fourth month, in the fifth day of the month, as I was among the captives by the river Chebar, the heavens were opened, and I saw visions of God."
"en ai garra gibit yu bigismob biginini. yu garra abum detmatj biginini, en nobodi kaan kaundimap olabat.","Yahweh's angel said to her, ""I will greatly multiply your offspring, that they will not be counted for multitude."""
"brom deya wen detlot ishmeil pipul bin kamat deya langa olabat, deibin pulumat josef brom det wel, en deibin selim im langa detlot pipul blanga 20 silbawan mani, en detlot ishmeil pipul bin deigimwei josef langa det kantri gulum ijip.","Midianites who were merchants passed by, and they drew and lifted up Joseph out of the pit, and sold Joseph to the Ishmaelites for twenty pieces of silver. The merchants brought Joseph into Egypt."
"afta na jisas bin lukaran langa det serramoni pleis, en imbin luk sambala ritjmen bin pudumbat mani langa det mani boks,",He looked up and saw the rich people who were putting their gifts into the treasury.
"wal det serramonimen bin dalim det gel, ""wal yu gobek na gudbinjiwei, en det god blanga ola isreil pipul garra gibit yu wanim yubin askim im.""","Then Eli answered, ""Go in peace; and may the God of Israel grant your petition that you have asked of him."""
"wal mosis bin raidimdan ol detlot lowa na, en ailibala imbin bildimap teibul blanga ofring lodan langa det hil, en imbin jandimap twelbala ston deya. imbin pudum wanbala ston blanga ebri klen.","Moses wrote all Yahweh's words, then rose up early in the morning and built an altar at the base of the mountain, with twelve pillars for the twelve tribes of Israel."
im lukaftumbat mi en kipum mi seifwan. im main seifwan haus en im seibum mi. mi trastim im blanga kipum mi seifwan jis laiga shild. im meigim mi jidan bos langa najalot pipul brom najalot kantri.,"my loving kindness, my fortress, my high tower, my deliverer, my shield, and he in whom I take refuge, who subdues my people under me."
"wal ol dislot ting na yumob garra werrimon jis laik detlot speshalwan klos blanga fait. det belt weya meigim ebrijing fit brabliwei, im det trubala wed blanga god en nomo laiyawan, en lagijat na yumob garra werrimon det belt du. en det solja werrimon speshalwan shet weya nomo enijing kaan ardim im insaid langa im hat. en wen yumob oldei dum ebrijing raitwei blanga god, im jis laik yumob werrimon det speshalwan shet weya nomo enijing kaan ardim yumob hat.","Stand therefore, having the utility belt of truth buckled around your waist, and having put on the breastplate of righteousness,"
